query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+-----------+--------+
| RANK | REL/NONREL | PRECISION | RECALL |
+------+------------+-----------+--------+
|  1   |  NON-REL   |    0.0    |  0.0   |
|  2   |  NON-REL   |    0.0    |  0.0   |
|  3   |  NON-REL   |    0.0    |  0.0   |
|  4   |  NON-REL   |    0.0    |  0.0   |
|  5   |  NON-REL   |    0.0    |  0.0   |
|  6   |  NON-REL   |    0.0    |  0.0   |
|  7   |  NON-REL   |    0.0    |  0.0   |
|  8   |  NON-REL   |    0.0    |  0.0   |
|  9   |  NON-REL   |    0.0    |  0.0   |
|  10  |  NON-REL   |    0.0    |  0.0   |
|  11  |  NON-REL   |    0.0    |  0.0   |
|  12  |  NON-REL   |    0.0    |  0.0   |
|  13  |  NON-REL   |    0.0    |  0.0   |
|  14  |  NON-REL   |    0.0    |  0.0   |
|  15  |  NON-REL   |    0.0    |  0.0   |
|  16  |  NON-REL   |    0.0    |  0.0   |
|  17  |  NON-REL   |    0.0    |  0.0   |
|  18  |  NON-REL   |    0.0    |  0.0   |
|  19  |  NON-REL   |    0.0    |  0.0   |
|  20  |  NON-REL   |    0.0    |  0.0   |
|  21  |  NON-REL   |    0.0    |  0.0   |
|  22  |  NON-REL   |    0.0    |  0.0   |
|  23  |  NON-REL   |    0.0    |  0.0   |
|  24  |  NON-REL   |    0.0    |  0.0   |
|  25  |  NON-REL   |    0.0    |  0.0   |
|  26  |  NON-REL   |    0.0    |  0.0   |
|  27  |  NON-REL   |    0.0    |  0.0   |
|  28  |  NON-REL   |    0.0    |  0.0   |
|  29  |  NON-REL   |    0.0    |  0.0   |
|  30  |  NON-REL   |    0.0    |  0.0   |
|  31  |  NON-REL   |    0.0    |  0.0   |
|  32  |  NON-REL   |    0.0    |  0.0   |
|  33  |  NON-REL   |    0.0    |  0.0   |
|  34  |  NON-REL   |    0.0    |  0.0   |
|  35  |  NON-REL   |    0.0    |  0.0   |
|  36  |  NON-REL   |    0.0    |  0.0   |
|  37  |  NON-REL   |    0.0    |  0.0   |
|  38  |  NON-REL   |    0.0    |  0.0   |
|  39  |  NON-REL   |    0.0    |  0.0   |
|  40  |  NON-REL   |    0.0    |  0.0   |
|  41  |  NON-REL   |    0.0    |  0.0   |
|  42  |  NON-REL   |    0.0    |  0.0   |
|  43  |  NON-REL   |    0.0    |  0.0   |
|  44  |  NON-REL   |    0.0    |  0.0   |
|  45  |  NON-REL   |    0.0    |  0.0   |
|  46  |  NON-REL   |    0.0    |  0.0   |
|  47  |  NON-REL   |    0.0    |  0.0   |
|  48  |  NON-REL   |    0.0    |  0.0   |
|  49  |  NON-REL   |    0.0    |  0.0   |
|  50  |  NON-REL   |    0.0    |  0.0   |
|  51  |  NON-REL   |    0.0    |  0.0   |
|  52  |  NON-REL   |    0.0    |  0.0   |
|  53  |  NON-REL   |    0.0    |  0.0   |
|  54  |  NON-REL   |    0.0    |  0.0   |
|  55  |  NON-REL   |    0.0    |  0.0   |
|  56  |  NON-REL   |    0.0    |  0.0   |
|  57  |  NON-REL   |    0.0    |  0.0   |
|  58  |  NON-REL   |    0.0    |  0.0   |
|  59  |  NON-REL   |    0.0    |  0.0   |
|  60  |  NON-REL   |    0.0    |  0.0   |
|  61  |  NON-REL   |    0.0    |  0.0   |
|  62  |  NON-REL   |    0.0    |  0.0   |
|  63  |  NON-REL   |    0.0    |  0.0   |
|  64  |  NON-REL   |    0.0    |  0.0   |
|  65  |  NON-REL   |    0.0    |  0.0   |
|  66  |  NON-REL   |    0.0    |  0.0   |
|  67  |  NON-REL   |    0.0    |  0.0   |
|  68  |  NON-REL   |    0.0    |  0.0   |
|  69  |  NON-REL   |    0.0    |  0.0   |
|  70  |  NON-REL   |    0.0    |  0.0   |
|  71  |  NON-REL   |    0.0    |  0.0   |
|  72  |  NON-REL   |    0.0    |  0.0   |
|  73  |  NON-REL   |    0.0    |  0.0   |
|  74  |  NON-REL   |    0.0    |  0.0   |
|  75  |  NON-REL   |    0.0    |  0.0   |
|  76  |  NON-REL   |    0.0    |  0.0   |
|  77  |  NON-REL   |    0.0    |  0.0   |
|  78  |  NON-REL   |    0.0    |  0.0   |
|  79  |  NON-REL   |    0.0    |  0.0   |
|  80  |  NON-REL   |    0.0    |  0.0   |
|  81  |  NON-REL   |    0.0    |  0.0   |
|  82  |  NON-REL   |    0.0    |  0.0   |
|  83  |  NON-REL   |    0.0    |  0.0   |
|  84  |  NON-REL   |    0.0    |  0.0   |
|  85  |  NON-REL   |    0.0    |  0.0   |
|  86  |  NON-REL   |    0.0    |  0.0   |
|  87  |  NON-REL   |    0.0    |  0.0   |
|  88  |  NON-REL   |    0.0    |  0.0   |
|  89  |  NON-REL   |    0.0    |  0.0   |
|  90  |  NON-REL   |    0.0    |  0.0   |
|  91  |  NON-REL   |    0.0    |  0.0   |
|  92  |  NON-REL   |    0.0    |  0.0   |
|  93  |  NON-REL   |    0.0    |  0.0   |
|  94  |  NON-REL   |    0.0    |  0.0   |
|  95  |  NON-REL   |    0.0    |  0.0   |
|  96  |  NON-REL   |    0.0    |  0.0   |
|  97  |  NON-REL   |    0.0    |  0.0   |
|  98  |  NON-REL   |    0.0    |  0.0   |
|  99  |  NON-REL   |    0.0    |  0.0   |
| 100  |  NON-REL   |    0.0    |  0.0   |
+------+------------+-----------+--------+
