query_29: mber-theoretic algorithms especially involving prime number series sieves chinese remainder theorem
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |  NON-REL   |       0.0       |       0.0       |
|  24  |  NON-REL   |       0.0       |       0.0       |
|  25  |  NON-REL   |       0.0       |       0.0       |
|  26  |  NON-REL   |       0.0       |       0.0       |
|  27  |  NON-REL   |       0.0       |       0.0       |
|  28  |  NON-REL   |       0.0       |       0.0       |
|  29  |  NON-REL   |       0.0       |       0.0       |
|  30  |  NON-REL   |       0.0       |       0.0       |
|  31  |  NON-REL   |       0.0       |       0.0       |
|  32  |  NON-REL   |       0.0       |       0.0       |
|  33  |  NON-REL   |       0.0       |       0.0       |
|  34  |  NON-REL   |       0.0       |       0.0       |
|  35  |  NON-REL   |       0.0       |       0.0       |
|  36  |  NON-REL   |       0.0       |       0.0       |
|  37  |  NON-REL   |       0.0       |       0.0       |
|  38  |  NON-REL   |       0.0       |       0.0       |
|  39  |  NON-REL   |       0.0       |       0.0       |
|  40  |  NON-REL   |       0.0       |       0.0       |
|  41  |  NON-REL   |       0.0       |       0.0       |
|  42  |  NON-REL   |       0.0       |       0.0       |
|  43  |  NON-REL   |       0.0       |       0.0       |
|  44  |  NON-REL   |       0.0       |       0.0       |
|  45  |  NON-REL   |       0.0       |       0.0       |
|  46  |  NON-REL   |       0.0       |       0.0       |
|  47  |  NON-REL   |       0.0       |       0.0       |
|  48  |    REL     | 0.0208333333333 | 0.0526315789474 |
|  49  |  NON-REL   | 0.0204081632653 | 0.0526315789474 |
|  50  |  NON-REL   |       0.02      | 0.0526315789474 |
|  51  |    REL     | 0.0392156862745 |  0.105263157895 |
|  52  |  NON-REL   | 0.0384615384615 |  0.105263157895 |
|  53  |  NON-REL   | 0.0377358490566 |  0.105263157895 |
|  54  |  NON-REL   |  0.037037037037 |  0.105263157895 |
|  55  |  NON-REL   | 0.0363636363636 |  0.105263157895 |
|  56  |  NON-REL   | 0.0357142857143 |  0.105263157895 |
|  57  |  NON-REL   | 0.0350877192982 |  0.105263157895 |
|  58  |  NON-REL   | 0.0344827586207 |  0.105263157895 |
|  59  |  NON-REL   | 0.0338983050847 |  0.105263157895 |
|  60  |  NON-REL   | 0.0333333333333 |  0.105263157895 |
|  61  |  NON-REL   | 0.0327868852459 |  0.105263157895 |
|  62  |  NON-REL   | 0.0322580645161 |  0.105263157895 |
|  63  |  NON-REL   |  0.031746031746 |  0.105263157895 |
|  64  |  NON-REL   |     0.03125     |  0.105263157895 |
|  65  |  NON-REL   | 0.0307692307692 |  0.105263157895 |
|  66  |  NON-REL   |  0.030303030303 |  0.105263157895 |
|  67  |  NON-REL   | 0.0298507462687 |  0.105263157895 |
|  68  |  NON-REL   | 0.0294117647059 |  0.105263157895 |
|  69  |  NON-REL   | 0.0289855072464 |  0.105263157895 |
|  70  |  NON-REL   | 0.0285714285714 |  0.105263157895 |
|  71  |  NON-REL   | 0.0281690140845 |  0.105263157895 |
|  72  |  NON-REL   | 0.0277777777778 |  0.105263157895 |
|  73  |  NON-REL   |  0.027397260274 |  0.105263157895 |
|  74  |  NON-REL   |  0.027027027027 |  0.105263157895 |
|  75  |  NON-REL   | 0.0266666666667 |  0.105263157895 |
|  76  |  NON-REL   | 0.0263157894737 |  0.105263157895 |
|  77  |  NON-REL   |  0.025974025974 |  0.105263157895 |
|  78  |  NON-REL   |  0.025641025641 |  0.105263157895 |
|  79  |  NON-REL   | 0.0253164556962 |  0.105263157895 |
|  80  |  NON-REL   |      0.025      |  0.105263157895 |
|  81  |  NON-REL   | 0.0246913580247 |  0.105263157895 |
|  82  |  NON-REL   | 0.0243902439024 |  0.105263157895 |
|  83  |  NON-REL   | 0.0240963855422 |  0.105263157895 |
|  84  |  NON-REL   | 0.0238095238095 |  0.105263157895 |
|  85  |  NON-REL   | 0.0235294117647 |  0.105263157895 |
|  86  |  NON-REL   | 0.0232558139535 |  0.105263157895 |
|  87  |  NON-REL   | 0.0229885057471 |  0.105263157895 |
|  88  |  NON-REL   | 0.0227272727273 |  0.105263157895 |
|  89  |  NON-REL   | 0.0224719101124 |  0.105263157895 |
|  90  |  NON-REL   | 0.0222222222222 |  0.105263157895 |
|  91  |  NON-REL   |  0.021978021978 |  0.105263157895 |
|  92  |  NON-REL   | 0.0217391304348 |  0.105263157895 |
|  93  |  NON-REL   | 0.0215053763441 |  0.105263157895 |
|  94  |  NON-REL   | 0.0212765957447 |  0.105263157895 |
|  95  |  NON-REL   | 0.0210526315789 |  0.105263157895 |
|  96  |  NON-REL   | 0.0208333333333 |  0.105263157895 |
|  97  |  NON-REL   |  0.020618556701 |  0.105263157895 |
|  98  |  NON-REL   | 0.0204081632653 |  0.105263157895 |
|  99  |  NON-REL   |  0.020202020202 |  0.105263157895 |
| 100  |  NON-REL   |       0.02      |  0.105263157895 |
+------+------------+-----------------+-----------------+
