query_62: sults relating parallel complexity theory pram uniform circuits
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |    REL     | 0.0588235294118 | 0.125  |
|  18  |  NON-REL   | 0.0555555555556 | 0.125  |
|  19  |  NON-REL   | 0.0526315789474 | 0.125  |
|  20  |  NON-REL   |       0.05      | 0.125  |
|  21  |  NON-REL   |  0.047619047619 | 0.125  |
|  22  |  NON-REL   | 0.0454545454545 | 0.125  |
|  23  |  NON-REL   | 0.0434782608696 | 0.125  |
|  24  |  NON-REL   | 0.0416666666667 | 0.125  |
|  25  |  NON-REL   |       0.04      | 0.125  |
|  26  |  NON-REL   | 0.0384615384615 | 0.125  |
|  27  |  NON-REL   |  0.037037037037 | 0.125  |
|  28  |  NON-REL   | 0.0357142857143 | 0.125  |
|  29  |  NON-REL   | 0.0344827586207 | 0.125  |
|  30  |  NON-REL   | 0.0333333333333 | 0.125  |
|  31  |    REL     | 0.0645161290323 |  0.25  |
|  32  |  NON-REL   |      0.0625     |  0.25  |
|  33  |  NON-REL   | 0.0606060606061 |  0.25  |
|  34  |  NON-REL   | 0.0588235294118 |  0.25  |
|  35  |  NON-REL   | 0.0571428571429 |  0.25  |
|  36  |  NON-REL   | 0.0555555555556 |  0.25  |
|  37  |  NON-REL   | 0.0540540540541 |  0.25  |
|  38  |  NON-REL   | 0.0526315789474 |  0.25  |
|  39  |  NON-REL   | 0.0512820512821 |  0.25  |
|  40  |  NON-REL   |       0.05      |  0.25  |
|  41  |  NON-REL   | 0.0487804878049 |  0.25  |
|  42  |  NON-REL   |  0.047619047619 |  0.25  |
|  43  |  NON-REL   |  0.046511627907 |  0.25  |
|  44  |  NON-REL   | 0.0454545454545 |  0.25  |
|  45  |  NON-REL   | 0.0444444444444 |  0.25  |
|  46  |  NON-REL   | 0.0434782608696 |  0.25  |
|  47  |    REL     |  0.063829787234 | 0.375  |
|  48  |  NON-REL   |      0.0625     | 0.375  |
|  49  |  NON-REL   | 0.0612244897959 | 0.375  |
|  50  |  NON-REL   |       0.06      | 0.375  |
|  51  |  NON-REL   | 0.0588235294118 | 0.375  |
|  52  |  NON-REL   | 0.0576923076923 | 0.375  |
|  53  |  NON-REL   | 0.0566037735849 | 0.375  |
|  54  |  NON-REL   | 0.0555555555556 | 0.375  |
|  55  |    REL     | 0.0727272727273 |  0.5   |
|  56  |  NON-REL   | 0.0714285714286 |  0.5   |
|  57  |  NON-REL   | 0.0701754385965 |  0.5   |
|  58  |  NON-REL   | 0.0689655172414 |  0.5   |
|  59  |  NON-REL   | 0.0677966101695 |  0.5   |
|  60  |  NON-REL   | 0.0666666666667 |  0.5   |
|  61  |  NON-REL   | 0.0655737704918 |  0.5   |
|  62  |  NON-REL   | 0.0645161290323 |  0.5   |
|  63  |  NON-REL   | 0.0634920634921 |  0.5   |
|  64  |  NON-REL   |      0.0625     |  0.5   |
|  65  |  NON-REL   | 0.0615384615385 |  0.5   |
|  66  |  NON-REL   | 0.0606060606061 |  0.5   |
|  67  |  NON-REL   | 0.0597014925373 |  0.5   |
|  68  |  NON-REL   | 0.0588235294118 |  0.5   |
|  69  |  NON-REL   | 0.0579710144928 |  0.5   |
|  70  |  NON-REL   | 0.0571428571429 |  0.5   |
|  71  |  NON-REL   |  0.056338028169 |  0.5   |
|  72  |  NON-REL   | 0.0555555555556 |  0.5   |
|  73  |  NON-REL   | 0.0547945205479 |  0.5   |
|  74  |  NON-REL   | 0.0540540540541 |  0.5   |
|  75  |  NON-REL   | 0.0533333333333 |  0.5   |
|  76  |  NON-REL   | 0.0526315789474 |  0.5   |
|  77  |  NON-REL   | 0.0519480519481 |  0.5   |
|  78  |  NON-REL   | 0.0512820512821 |  0.5   |
|  79  |  NON-REL   | 0.0506329113924 |  0.5   |
|  80  |  NON-REL   |       0.05      |  0.5   |
|  81  |  NON-REL   | 0.0493827160494 |  0.5   |
|  82  |  NON-REL   | 0.0487804878049 |  0.5   |
|  83  |  NON-REL   | 0.0481927710843 |  0.5   |
|  84  |  NON-REL   |  0.047619047619 |  0.5   |
|  85  |  NON-REL   | 0.0470588235294 |  0.5   |
|  86  |  NON-REL   |  0.046511627907 |  0.5   |
|  87  |  NON-REL   | 0.0459770114943 |  0.5   |
|  88  |  NON-REL   | 0.0454545454545 |  0.5   |
|  89  |  NON-REL   | 0.0449438202247 |  0.5   |
|  90  |  NON-REL   | 0.0444444444444 |  0.5   |
|  91  |  NON-REL   |  0.043956043956 |  0.5   |
|  92  |  NON-REL   | 0.0434782608696 |  0.5   |
|  93  |  NON-REL   | 0.0430107526882 |  0.5   |
|  94  |  NON-REL   | 0.0425531914894 |  0.5   |
|  95  |  NON-REL   | 0.0421052631579 |  0.5   |
|  96  |  NON-REL   | 0.0416666666667 |  0.5   |
|  97  |  NON-REL   | 0.0412371134021 |  0.5   |
|  98  |  NON-REL   | 0.0408163265306 |  0.5   |
|  99  |  NON-REL   |  0.040404040404 |  0.5   |
| 100  |  NON-REL   |       0.04      |  0.5   |
+------+------------+-----------------+--------+
