query_7: terested distributed algorithms  concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |  NON-REL   |       0.0       |       0.0       |
|  24  |  NON-REL   |       0.0       |       0.0       |
|  25  |  NON-REL   |       0.0       |       0.0       |
|  26  |  NON-REL   |       0.0       |       0.0       |
|  27  |  NON-REL   |       0.0       |       0.0       |
|  28  |  NON-REL   |       0.0       |       0.0       |
|  29  |  NON-REL   |       0.0       |       0.0       |
|  30  |  NON-REL   |       0.0       |       0.0       |
|  31  |  NON-REL   |       0.0       |       0.0       |
|  32  |  NON-REL   |       0.0       |       0.0       |
|  33  |  NON-REL   |       0.0       |       0.0       |
|  34  |  NON-REL   |       0.0       |       0.0       |
|  35  |  NON-REL   |       0.0       |       0.0       |
|  36  |  NON-REL   |       0.0       |       0.0       |
|  37  |  NON-REL   |       0.0       |       0.0       |
|  38  |  NON-REL   |       0.0       |       0.0       |
|  39  |  NON-REL   |       0.0       |       0.0       |
|  40  |  NON-REL   |       0.0       |       0.0       |
|  41  |  NON-REL   |       0.0       |       0.0       |
|  42  |  NON-REL   |       0.0       |       0.0       |
|  43  |  NON-REL   |       0.0       |       0.0       |
|  44  |  NON-REL   |       0.0       |       0.0       |
|  45  |  NON-REL   |       0.0       |       0.0       |
|  46  |  NON-REL   |       0.0       |       0.0       |
|  47  |  NON-REL   |       0.0       |       0.0       |
|  48  |  NON-REL   |       0.0       |       0.0       |
|  49  |  NON-REL   |       0.0       |       0.0       |
|  50  |  NON-REL   |       0.0       |       0.0       |
|  51  |  NON-REL   |       0.0       |       0.0       |
|  52  |  NON-REL   |       0.0       |       0.0       |
|  53  |  NON-REL   |       0.0       |       0.0       |
|  54  |  NON-REL   |       0.0       |       0.0       |
|  55  |  NON-REL   |       0.0       |       0.0       |
|  56  |  NON-REL   |       0.0       |       0.0       |
|  57  |  NON-REL   |       0.0       |       0.0       |
|  58  |  NON-REL   |       0.0       |       0.0       |
|  59  |  NON-REL   |       0.0       |       0.0       |
|  60  |  NON-REL   |       0.0       |       0.0       |
|  61  |  NON-REL   |       0.0       |       0.0       |
|  62  |  NON-REL   |       0.0       |       0.0       |
|  63  |  NON-REL   |       0.0       |       0.0       |
|  64  |  NON-REL   |       0.0       |       0.0       |
|  65  |  NON-REL   |       0.0       |       0.0       |
|  66  |  NON-REL   |       0.0       |       0.0       |
|  67  |  NON-REL   |       0.0       |       0.0       |
|  68  |  NON-REL   |       0.0       |       0.0       |
|  69  |  NON-REL   |       0.0       |       0.0       |
|  70  |  NON-REL   |       0.0       |       0.0       |
|  71  |  NON-REL   |       0.0       |       0.0       |
|  72  |  NON-REL   |       0.0       |       0.0       |
|  73  |  NON-REL   |       0.0       |       0.0       |
|  74  |  NON-REL   |       0.0       |       0.0       |
|  75  |  NON-REL   |       0.0       |       0.0       |
|  76  |  NON-REL   |       0.0       |       0.0       |
|  77  |  NON-REL   |       0.0       |       0.0       |
|  78  |  NON-REL   |       0.0       |       0.0       |
|  79  |  NON-REL   |       0.0       |       0.0       |
|  80  |  NON-REL   |       0.0       |       0.0       |
|  81  |  NON-REL   |       0.0       |       0.0       |
|  82  |  NON-REL   |       0.0       |       0.0       |
|  83  |  NON-REL   |       0.0       |       0.0       |
|  84  |  NON-REL   |       0.0       |       0.0       |
|  85  |  NON-REL   |       0.0       |       0.0       |
|  86  |  NON-REL   |       0.0       |       0.0       |
|  87  |  NON-REL   |       0.0       |       0.0       |
|  88  |  NON-REL   |       0.0       |       0.0       |
|  89  |  NON-REL   |       0.0       |       0.0       |
|  90  |    REL     | 0.0111111111111 | 0.0357142857143 |
|  91  |  NON-REL   |  0.010989010989 | 0.0357142857143 |
|  92  |  NON-REL   | 0.0108695652174 | 0.0357142857143 |
|  93  |    REL     | 0.0215053763441 | 0.0714285714286 |
|  94  |  NON-REL   | 0.0212765957447 | 0.0714285714286 |
|  95  |  NON-REL   | 0.0210526315789 | 0.0714285714286 |
|  96  |  NON-REL   | 0.0208333333333 | 0.0714285714286 |
|  97  |  NON-REL   |  0.020618556701 | 0.0714285714286 |
|  98  |  NON-REL   | 0.0204081632653 | 0.0714285714286 |
|  99  |  NON-REL   |  0.020202020202 | 0.0714285714286 |
| 100  |  NON-REL   |       0.02      | 0.0714285714286 |
+------+------------+-----------------+-----------------+
