query_62: sults relating parallel complexity theory pram uniform circuits
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |    REL     | 0.0714285714286 | 0.125  |
|  15  |  NON-REL   | 0.0666666666667 | 0.125  |
|  16  |  NON-REL   |      0.0625     | 0.125  |
|  17  |  NON-REL   | 0.0588235294118 | 0.125  |
|  18  |  NON-REL   | 0.0555555555556 | 0.125  |
|  19  |  NON-REL   | 0.0526315789474 | 0.125  |
|  20  |  NON-REL   |       0.05      | 0.125  |
|  21  |  NON-REL   |  0.047619047619 | 0.125  |
|  22  |  NON-REL   | 0.0454545454545 | 0.125  |
|  23  |  NON-REL   | 0.0434782608696 | 0.125  |
|  24  |  NON-REL   | 0.0416666666667 | 0.125  |
|  25  |  NON-REL   |       0.04      | 0.125  |
|  26  |  NON-REL   | 0.0384615384615 | 0.125  |
|  27  |  NON-REL   |  0.037037037037 | 0.125  |
|  28  |  NON-REL   | 0.0357142857143 | 0.125  |
|  29  |    REL     | 0.0689655172414 |  0.25  |
|  30  |  NON-REL   | 0.0666666666667 |  0.25  |
|  31  |  NON-REL   | 0.0645161290323 |  0.25  |
|  32  |  NON-REL   |      0.0625     |  0.25  |
|  33  |  NON-REL   | 0.0606060606061 |  0.25  |
|  34  |  NON-REL   | 0.0588235294118 |  0.25  |
|  35  |    REL     | 0.0857142857143 | 0.375  |
|  36  |  NON-REL   | 0.0833333333333 | 0.375  |
|  37  |  NON-REL   | 0.0810810810811 | 0.375  |
|  38  |  NON-REL   | 0.0789473684211 | 0.375  |
|  39  |  NON-REL   | 0.0769230769231 | 0.375  |
|  40  |  NON-REL   |      0.075      | 0.375  |
|  41  |  NON-REL   | 0.0731707317073 | 0.375  |
|  42  |  NON-REL   | 0.0714285714286 | 0.375  |
|  43  |  NON-REL   | 0.0697674418605 | 0.375  |
|  44  |  NON-REL   | 0.0681818181818 | 0.375  |
|  45  |  NON-REL   | 0.0666666666667 | 0.375  |
|  46  |  NON-REL   | 0.0652173913043 | 0.375  |
|  47  |  NON-REL   |  0.063829787234 | 0.375  |
|  48  |  NON-REL   |      0.0625     | 0.375  |
|  49  |  NON-REL   | 0.0612244897959 | 0.375  |
|  50  |  NON-REL   |       0.06      | 0.375  |
|  51  |  NON-REL   | 0.0588235294118 | 0.375  |
|  52  |  NON-REL   | 0.0576923076923 | 0.375  |
|  53  |  NON-REL   | 0.0566037735849 | 0.375  |
|  54  |  NON-REL   | 0.0555555555556 | 0.375  |
|  55  |  NON-REL   | 0.0545454545455 | 0.375  |
|  56  |  NON-REL   | 0.0535714285714 | 0.375  |
|  57  |  NON-REL   | 0.0526315789474 | 0.375  |
|  58  |    REL     | 0.0689655172414 |  0.5   |
|  59  |  NON-REL   | 0.0677966101695 |  0.5   |
|  60  |  NON-REL   | 0.0666666666667 |  0.5   |
|  61  |    REL     | 0.0819672131148 | 0.625  |
|  62  |  NON-REL   | 0.0806451612903 | 0.625  |
|  63  |  NON-REL   | 0.0793650793651 | 0.625  |
|  64  |  NON-REL   |     0.078125    | 0.625  |
|  65  |  NON-REL   | 0.0769230769231 | 0.625  |
|  66  |  NON-REL   | 0.0757575757576 | 0.625  |
|  67  |  NON-REL   | 0.0746268656716 | 0.625  |
|  68  |  NON-REL   | 0.0735294117647 | 0.625  |
|  69  |  NON-REL   | 0.0724637681159 | 0.625  |
|  70  |  NON-REL   | 0.0714285714286 | 0.625  |
|  71  |  NON-REL   | 0.0704225352113 | 0.625  |
|  72  |  NON-REL   | 0.0694444444444 | 0.625  |
|  73  |  NON-REL   | 0.0684931506849 | 0.625  |
|  74  |  NON-REL   | 0.0675675675676 | 0.625  |
|  75  |  NON-REL   | 0.0666666666667 | 0.625  |
|  76  |  NON-REL   | 0.0657894736842 | 0.625  |
|  77  |  NON-REL   | 0.0649350649351 | 0.625  |
|  78  |  NON-REL   | 0.0641025641026 | 0.625  |
|  79  |  NON-REL   | 0.0632911392405 | 0.625  |
|  80  |  NON-REL   |      0.0625     | 0.625  |
|  81  |  NON-REL   | 0.0617283950617 | 0.625  |
|  82  |  NON-REL   | 0.0609756097561 | 0.625  |
|  83  |  NON-REL   | 0.0602409638554 | 0.625  |
|  84  |  NON-REL   | 0.0595238095238 | 0.625  |
|  85  |  NON-REL   | 0.0588235294118 | 0.625  |
|  86  |  NON-REL   | 0.0581395348837 | 0.625  |
|  87  |  NON-REL   | 0.0574712643678 | 0.625  |
|  88  |  NON-REL   | 0.0568181818182 | 0.625  |
|  89  |  NON-REL   | 0.0561797752809 | 0.625  |
|  90  |  NON-REL   | 0.0555555555556 | 0.625  |
|  91  |  NON-REL   | 0.0549450549451 | 0.625  |
|  92  |  NON-REL   |  0.054347826087 | 0.625  |
|  93  |  NON-REL   | 0.0537634408602 | 0.625  |
|  94  |  NON-REL   | 0.0531914893617 | 0.625  |
|  95  |  NON-REL   | 0.0526315789474 | 0.625  |
|  96  |  NON-REL   | 0.0520833333333 | 0.625  |
|  97  |  NON-REL   | 0.0515463917526 | 0.625  |
|  98  |  NON-REL   | 0.0510204081633 | 0.625  |
|  99  |  NON-REL   | 0.0505050505051 | 0.625  |
| 100  |  NON-REL   |       0.05      | 0.625  |
+------+------------+-----------------+--------+
