query_23: stributed computing structures algorithms
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |  NON-REL   |       0.0       |  0.0   |
|  20  |  NON-REL   |       0.0       |  0.0   |
|  21  |  NON-REL   |       0.0       |  0.0   |
|  22  |  NON-REL   |       0.0       |  0.0   |
|  23  |  NON-REL   |       0.0       |  0.0   |
|  24  |  NON-REL   |       0.0       |  0.0   |
|  25  |  NON-REL   |       0.0       |  0.0   |
|  26  |  NON-REL   |       0.0       |  0.0   |
|  27  |  NON-REL   |       0.0       |  0.0   |
|  28  |  NON-REL   |       0.0       |  0.0   |
|  29  |  NON-REL   |       0.0       |  0.0   |
|  30  |  NON-REL   |       0.0       |  0.0   |
|  31  |  NON-REL   |       0.0       |  0.0   |
|  32  |  NON-REL   |       0.0       |  0.0   |
|  33  |  NON-REL   |       0.0       |  0.0   |
|  34  |  NON-REL   |       0.0       |  0.0   |
|  35  |  NON-REL   |       0.0       |  0.0   |
|  36  |    REL     | 0.0277777777778 |  0.25  |
|  37  |  NON-REL   |  0.027027027027 |  0.25  |
|  38  |  NON-REL   | 0.0263157894737 |  0.25  |
|  39  |  NON-REL   |  0.025641025641 |  0.25  |
|  40  |  NON-REL   |      0.025      |  0.25  |
|  41  |  NON-REL   | 0.0243902439024 |  0.25  |
|  42  |  NON-REL   | 0.0238095238095 |  0.25  |
|  43  |  NON-REL   | 0.0232558139535 |  0.25  |
|  44  |  NON-REL   | 0.0227272727273 |  0.25  |
|  45  |  NON-REL   | 0.0222222222222 |  0.25  |
|  46  |  NON-REL   | 0.0217391304348 |  0.25  |
|  47  |  NON-REL   | 0.0212765957447 |  0.25  |
|  48  |  NON-REL   | 0.0208333333333 |  0.25  |
|  49  |  NON-REL   | 0.0204081632653 |  0.25  |
|  50  |  NON-REL   |       0.02      |  0.25  |
|  51  |  NON-REL   | 0.0196078431373 |  0.25  |
|  52  |  NON-REL   | 0.0192307692308 |  0.25  |
|  53  |  NON-REL   | 0.0188679245283 |  0.25  |
|  54  |  NON-REL   | 0.0185185185185 |  0.25  |
|  55  |  NON-REL   | 0.0181818181818 |  0.25  |
|  56  |  NON-REL   | 0.0178571428571 |  0.25  |
|  57  |  NON-REL   | 0.0175438596491 |  0.25  |
|  58  |  NON-REL   | 0.0172413793103 |  0.25  |
|  59  |  NON-REL   | 0.0169491525424 |  0.25  |
|  60  |  NON-REL   | 0.0166666666667 |  0.25  |
|  61  |  NON-REL   |  0.016393442623 |  0.25  |
|  62  |  NON-REL   | 0.0161290322581 |  0.25  |
|  63  |  NON-REL   |  0.015873015873 |  0.25  |
|  64  |  NON-REL   |     0.015625    |  0.25  |
|  65  |  NON-REL   | 0.0153846153846 |  0.25  |
|  66  |  NON-REL   | 0.0151515151515 |  0.25  |
|  67  |  NON-REL   | 0.0149253731343 |  0.25  |
|  68  |  NON-REL   | 0.0147058823529 |  0.25  |
|  69  |  NON-REL   | 0.0144927536232 |  0.25  |
|  70  |  NON-REL   | 0.0142857142857 |  0.25  |
|  71  |  NON-REL   | 0.0140845070423 |  0.25  |
|  72  |  NON-REL   | 0.0138888888889 |  0.25  |
|  73  |  NON-REL   |  0.013698630137 |  0.25  |
|  74  |  NON-REL   | 0.0135135135135 |  0.25  |
|  75  |  NON-REL   | 0.0133333333333 |  0.25  |
|  76  |  NON-REL   | 0.0131578947368 |  0.25  |
|  77  |  NON-REL   |  0.012987012987 |  0.25  |
|  78  |  NON-REL   | 0.0128205128205 |  0.25  |
|  79  |  NON-REL   | 0.0126582278481 |  0.25  |
|  80  |  NON-REL   |      0.0125     |  0.25  |
|  81  |  NON-REL   | 0.0123456790123 |  0.25  |
|  82  |  NON-REL   | 0.0121951219512 |  0.25  |
|  83  |  NON-REL   | 0.0120481927711 |  0.25  |
|  84  |  NON-REL   | 0.0119047619048 |  0.25  |
|  85  |  NON-REL   | 0.0117647058824 |  0.25  |
|  86  |  NON-REL   | 0.0116279069767 |  0.25  |
|  87  |  NON-REL   | 0.0114942528736 |  0.25  |
|  88  |  NON-REL   | 0.0113636363636 |  0.25  |
|  89  |  NON-REL   | 0.0112359550562 |  0.25  |
|  90  |  NON-REL   | 0.0111111111111 |  0.25  |
|  91  |  NON-REL   |  0.010989010989 |  0.25  |
|  92  |  NON-REL   | 0.0108695652174 |  0.25  |
|  93  |  NON-REL   |  0.010752688172 |  0.25  |
|  94  |  NON-REL   | 0.0106382978723 |  0.25  |
|  95  |  NON-REL   | 0.0105263157895 |  0.25  |
|  96  |  NON-REL   | 0.0104166666667 |  0.25  |
|  97  |  NON-REL   | 0.0103092783505 |  0.25  |
|  98  |  NON-REL   | 0.0102040816327 |  0.25  |
|  99  |  NON-REL   |  0.010101010101 |  0.25  |
| 100  |  NON-REL   |       0.01      |  0.25  |
+------+------------+-----------------+--------+
