query_15: nd discussions horizontal microcode optimization special emphasis optimization loops global optimization
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |    REL     |  0.333333333333 |  0.1   |
|  4   |  NON-REL   |       0.25      |  0.1   |
|  5   |    REL     |       0.4       |  0.2   |
|  6   |  NON-REL   |  0.333333333333 |  0.2   |
|  7   |  NON-REL   |  0.285714285714 |  0.2   |
|  8   |  NON-REL   |       0.25      |  0.2   |
|  9   |  NON-REL   |  0.222222222222 |  0.2   |
|  10  |  NON-REL   |       0.2       |  0.2   |
|  11  |  NON-REL   |  0.181818181818 |  0.2   |
|  12  |  NON-REL   |  0.166666666667 |  0.2   |
|  13  |  NON-REL   |  0.153846153846 |  0.2   |
|  14  |  NON-REL   |  0.142857142857 |  0.2   |
|  15  |  NON-REL   |  0.133333333333 |  0.2   |
|  16  |  NON-REL   |      0.125      |  0.2   |
|  17  |  NON-REL   |  0.117647058824 |  0.2   |
|  18  |  NON-REL   |  0.111111111111 |  0.2   |
|  19  |    REL     |  0.157894736842 |  0.3   |
|  20  |  NON-REL   |       0.15      |  0.3   |
|  21  |  NON-REL   |  0.142857142857 |  0.3   |
|  22  |  NON-REL   |  0.136363636364 |  0.3   |
|  23  |  NON-REL   |  0.130434782609 |  0.3   |
|  24  |  NON-REL   |      0.125      |  0.3   |
|  25  |  NON-REL   |       0.12      |  0.3   |
|  26  |  NON-REL   |  0.115384615385 |  0.3   |
|  27  |  NON-REL   |  0.111111111111 |  0.3   |
|  28  |  NON-REL   |  0.107142857143 |  0.3   |
|  29  |  NON-REL   |  0.103448275862 |  0.3   |
|  30  |  NON-REL   |       0.1       |  0.3   |
|  31  |  NON-REL   | 0.0967741935484 |  0.3   |
|  32  |  NON-REL   |     0.09375     |  0.3   |
|  33  |  NON-REL   | 0.0909090909091 |  0.3   |
|  34  |  NON-REL   | 0.0882352941176 |  0.3   |
|  35  |  NON-REL   | 0.0857142857143 |  0.3   |
|  36  |  NON-REL   | 0.0833333333333 |  0.3   |
|  37  |    REL     |  0.108108108108 |  0.4   |
|  38  |  NON-REL   |  0.105263157895 |  0.4   |
|  39  |  NON-REL   |  0.102564102564 |  0.4   |
|  40  |  NON-REL   |       0.1       |  0.4   |
|  41  |  NON-REL   | 0.0975609756098 |  0.4   |
|  42  |  NON-REL   | 0.0952380952381 |  0.4   |
|  43  |  NON-REL   |  0.093023255814 |  0.4   |
|  44  |  NON-REL   | 0.0909090909091 |  0.4   |
|  45  |  NON-REL   | 0.0888888888889 |  0.4   |
|  46  |  NON-REL   | 0.0869565217391 |  0.4   |
|  47  |  NON-REL   | 0.0851063829787 |  0.4   |
|  48  |  NON-REL   | 0.0833333333333 |  0.4   |
|  49  |  NON-REL   | 0.0816326530612 |  0.4   |
|  50  |  NON-REL   |       0.08      |  0.4   |
|  51  |  NON-REL   |  0.078431372549 |  0.4   |
|  52  |  NON-REL   | 0.0769230769231 |  0.4   |
|  53  |  NON-REL   | 0.0754716981132 |  0.4   |
|  54  |  NON-REL   | 0.0740740740741 |  0.4   |
|  55  |  NON-REL   | 0.0727272727273 |  0.4   |
|  56  |  NON-REL   | 0.0714285714286 |  0.4   |
|  57  |  NON-REL   | 0.0701754385965 |  0.4   |
|  58  |  NON-REL   | 0.0689655172414 |  0.4   |
|  59  |  NON-REL   | 0.0677966101695 |  0.4   |
|  60  |  NON-REL   | 0.0666666666667 |  0.4   |
|  61  |  NON-REL   | 0.0655737704918 |  0.4   |
|  62  |  NON-REL   | 0.0645161290323 |  0.4   |
|  63  |  NON-REL   | 0.0634920634921 |  0.4   |
|  64  |  NON-REL   |      0.0625     |  0.4   |
|  65  |  NON-REL   | 0.0615384615385 |  0.4   |
|  66  |  NON-REL   | 0.0606060606061 |  0.4   |
|  67  |  NON-REL   | 0.0597014925373 |  0.4   |
|  68  |  NON-REL   | 0.0588235294118 |  0.4   |
|  69  |  NON-REL   | 0.0579710144928 |  0.4   |
|  70  |  NON-REL   | 0.0571428571429 |  0.4   |
|  71  |  NON-REL   |  0.056338028169 |  0.4   |
|  72  |  NON-REL   | 0.0555555555556 |  0.4   |
|  73  |  NON-REL   | 0.0547945205479 |  0.4   |
|  74  |  NON-REL   | 0.0540540540541 |  0.4   |
|  75  |  NON-REL   | 0.0533333333333 |  0.4   |
|  76  |  NON-REL   | 0.0526315789474 |  0.4   |
|  77  |    REL     | 0.0649350649351 |  0.5   |
|  78  |  NON-REL   | 0.0641025641026 |  0.5   |
|  79  |  NON-REL   | 0.0632911392405 |  0.5   |
|  80  |  NON-REL   |      0.0625     |  0.5   |
|  81  |  NON-REL   | 0.0617283950617 |  0.5   |
|  82  |  NON-REL   | 0.0609756097561 |  0.5   |
|  83  |    REL     | 0.0722891566265 |  0.6   |
|  84  |  NON-REL   | 0.0714285714286 |  0.6   |
|  85  |  NON-REL   | 0.0705882352941 |  0.6   |
|  86  |  NON-REL   | 0.0697674418605 |  0.6   |
|  87  |  NON-REL   | 0.0689655172414 |  0.6   |
|  88  |  NON-REL   | 0.0681818181818 |  0.6   |
|  89  |  NON-REL   | 0.0674157303371 |  0.6   |
|  90  |  NON-REL   | 0.0666666666667 |  0.6   |
|  91  |  NON-REL   | 0.0659340659341 |  0.6   |
|  92  |  NON-REL   | 0.0652173913043 |  0.6   |
|  93  |  NON-REL   | 0.0645161290323 |  0.6   |
|  94  |  NON-REL   |  0.063829787234 |  0.6   |
|  95  |  NON-REL   | 0.0631578947368 |  0.6   |
|  96  |  NON-REL   |      0.0625     |  0.6   |
|  97  |  NON-REL   | 0.0618556701031 |  0.6   |
|  98  |  NON-REL   | 0.0612244897959 |  0.6   |
|  99  |  NON-REL   | 0.0606060606061 |  0.6   |
| 100  |  NON-REL   |       0.06      |  0.6   |
+------+------------+-----------------+--------+
